package,title
A3,"Accurate, Adaptable, and Accessible Error Metrics for Predictive Models"
AalenJohansen,Conditional Aalen-Johansen Estimation
AATtools,Reliability and Scoring Routines for the Approach-Avoidance Task
ABACUS,Apps Based Activities for Communicating and Understanding Statistics
abbreviate,Readable String Abbreviation
abc,Tools for Approximate Bayesian Computation (ABC)
ABC.RAP,Array Based CpG Region Analysis Pipeline
abclass,Angle-Based Large-Margin Classifiers
ABCoptim,Implementation of Artificial Bee Colony (ABC) Optimization
ABCp2,Approximate Bayesian Computational Model for Estimating P2
